SampleID,PCRp_conc ,Sample_type,environment,Genus,Species,Sex,Instar,Primary_ blood_meal,Diet,Country,State,Location,Nest,Sampling_date,Coordinates_North,Cooredinated_West
TU33i6A1,14,Triatoma,No,Triatoma,protracta,M,6,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU35i5A1,26,Triatoma,No,Triatoma,protracta,ND,1,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU43i2A1,29,Triatoma,No,Triatoma,protracta,ND,2,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU49i4A2,40,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU49i4B1,50,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU50i3A3,26,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
DS7T3Ti1,21,Tick,No,Ornithodoros,turicata,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7T3Ti2,19,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7T3Ti3,14,Tick,No,Ornithodoros,turicata,ND,2,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
TU50i3C3,32,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU52i6A3,15,Triatoma,No,Triatoma,protracta,F,6,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU53i6A0,27,Triatoma,No,Triatoma,protracta,F,6,ND,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU54i4B2,67,Triatoma,No,Triatoma,protracta,ND,4,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU56i3C3,52,Triatoma,No,Triatoma,protracta,F,3,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
LC1A,22,assassin,No,Reduvius,sp.,ND,5,ND,hemolymph,US,AZ,LCNCA,N5,05.07.2018,N31.76432,W110.62289
LC2A,25,assassin,No,Reduvius,sp.,ND,5,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC2B,28,assassin,No,Reduvius,sp.,ND,4,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC2C,37,assassin,No,Reduvius,sp.,ND,4,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC2D,38,assassin,No,Reduvius,sp.,ND,3,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC2E,31,assassin,No,Reduvius,sp.,ND,2,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
TU58i3A1,18,Triatoma,No,Triatoma,protracta,ND,3,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU59i3A3,26,Triatoma,No,Triatoma,protracta,ND,1,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
DS16i2A,43,Triatoma,No,Triatoma,rubida,ND,2,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16i2C,36,Triatoma,No,Triatoma,rubida,ND,ND,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
