SampleID,PCRp_conc ,Sample_type,environment,Genus,Species,Sex,Instar,Primary_ blood_meal,Diet,Country,State,Location,Nest,Sampling_date,Coordinates_North,Cooredinated_West
P1C,48,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,S1,3.7.2021,ND,ND
42NM,48,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,4-2,21.5.2021,29.68392N,98.68392W
43NM,50,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,4-3,21.5.2021,29.37962N,98.68270W
65etM,55,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,RW2,8.7.2021,ND,ND
P1A,59,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,S1,3.7.2021,ND,ND
P1B,60,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,S1,3.7.2021,ND,ND
MLF61,61,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,N2,8.7.2021,ND,ND
7083etOH,62,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,FL,Gainesville,PF1,9.7.2021,29.54901N,82.33469W
11NM,37,Nest material,Yes,ND,ND,ND,ND,ND,ND,US,TX,LacklandAFB,1-1,18.5.2021,29.37471N,98.68518W
PC31,44,positive,No,mockZimoLog,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MCE,42,positive,No,mockEqual,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MCS,34,positive,No,mockStaggered,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
